player,season,g,mp,gs,fg_per_100_poss,x3p_per_100_poss,x2p_per_100_poss,ft_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,o_rtg,d_rtg,ts_percent,usg_percent,ws_48,bpm,experience,pos,is_mvp,is_candidate
A.C. Green,1986,82,1542,1.0,6.3,0.0,6.3,3.1,6.7,11.5,1.6,1.5,1.5,3.0,6.9,108.0,105.0,0.564,14.7,0.103,-1.6,1.0,PF,0,0
A.C. Green,1987,79,2240,72.0,6.7,0.0,6.7,4.6,8.5,13.0,1.8,1.5,1.7,2.2,3.6,122.0,105.0,0.599,14.7,0.163,1.0,2.0,PF,0,0
A.C. Green,1988,82,2636,64.0,5.9,0.0,5.9,5.4,8.5,13.0,1.7,1.6,0.8,2.2,3.7,119.0,106.0,0.581,14.7,0.144,0.3,3.0,PF,0,0
A.C. Green,1989,82,2510,82.0,7.7,0.1,7.6,5.4,9.2,14.1,2.0,1.8,1.1,2.3,3.3,122.0,105.0,0.594,17.0,0.179,1.6,4.0,PF,0,0
A.C. Green,1990,82,2709,82.0,7.099999999999999,0.2,6.800000000000001,5.1,8.3,13.1,1.7000000000000002,1.2,0.8999999999999999,2.1,3.8,116.0,107.0,0.548,17.1,0.137,-0.6,5.0,PF,0,0
A.C. Green,1991,82,2164,21.0,6.1,0.3,5.8,5.3,7.4,12.2,1.7,1.4,0.5,2.3,2.8,115.0,105.0,0.556,15.6,0.135,0.0,6.0,PF,0,0
A.C. Green,1992,82,2902,53.0,6.8,0.1999999999999999,6.6000000000000005,6.1000000000000005,8.2,13.6,2.1,1.6,0.6,2.0,2.5,119.0,108.0,0.556,16.8,0.145,0.7,7.0,PF,0,0
A.C. Green,1993,82,2819,55.0,6.7,0.3,6.4,4.9,7.5,12.6,2.1,1.6,0.7,2.1,2.6,123.0,109.0,0.603,15.0,0.147,0.7,8.0,PF,0,0
A.C. Green,1994,82,2825,55.0,8.2,0.1,8.0,4.7,8.4,13.2,2.4,1.2,0.7,1.8,2.5,120.0,107.0,0.555,17.6,0.157,0.6,9.0,PF,0,0
A.C. Green,1995,82,2687,52.0,5.8,0.7999999999999999,5.0,4.7,8.8,12.5,2.4,1.0,0.6,2.1,2.7,120.0,110.0,0.596,14.2,0.12,-0.1,10.0,SF,0,0
A.C. Green,1996,82,2113,36.0,5.2,0.3,4.9,4.1,9.5,13.5,1.8,1.1,0.6,1.9,3.4,115.0,109.0,0.558,13.2,0.1,-1.3,11.0,SF,0,0
A.C. Green,1997,166,4984,59.651685393258425,4.998956661316211,0.0,4.998956661316211,2.721990369181381,9.28796147672552,14.046067415730338,1.4719903691813805,1.4829855537720709,0.3170144462279293,1.5939807383627609,3.1109951845906902,111.40048154093098,107.0,0.523,11.8,0.093,-1.4,12.0,PF,0,0
A.C. Green,1998,82,2649,68.0,4.9,0.0,4.9,2.3,9.0,13.5,2.5,1.6000000000000003,0.5,1.4,3.2000000000000006,110.0,106.0,0.496,11.6,0.095,-1.4,13.0,PF,0,0
A.C. Green,1999,50,924,35.0,6.3,0.0,6.3,1.8,8.5,13.3,1.5,1.6,0.5,1.1,4.0,102.0,104.0,0.441,14.8,0.074,-2.2,14.0,PF,0,0
A.C. Green,2000,82,1929,82.0,4.6,0.0,4.6,1.8,8.7,13.0,2.1,1.4,0.5,1.4,3.4,108.0,99.0,0.482,11.0,0.124,-0.3,15.0,PF,0,0
A.C. Green,2001,82,1411,1.0,5.6,0.0,5.6,3.1,8.0,12.2,1.5,1.2,0.3,1.8,4.6,104.0,99.0,0.492,14.4,0.11,-2.2,16.0,PF,0,0
A.J. Bramlett,2000,8,61,0.0,3.3,0.0,3.3,0.0,8.2,18.1,0.0,0.8,0.0,2.5,10.7,64.0,106.0,0.19,17.1,-0.129,-15.9,1.0,C,0,0
A.J. English,1991,70,1443,12.0,8.6,0.1,8.5,3.8,2.8,5.0,6.0,0.9,0.5,3.9,4.3,97.0,113.0,0.48,21.8,0.008,-3.9,1.0,SG,0,0
A.J. English,1992,81,1665,6.0,10.8,0.2,10.6,4.4,2.8,5.0,4.2,0.9,0.3,2.6,4.7,100.0,113.0,0.48,25.6,0.025,-3.8,2.0,SG,0,0
A.J. Green,2023,35,345,1.0,7.3,6.1,1.2,0.6,5.4,6.2,3.0,0.8,0.0,1.2,4.3,121.0,115.0,0.607,16.6,0.111,-0.9,1.0,SG,0,0
A.J. Green,2024,56,614,0.0,6.5,5.4,1.1,1.3,4.3,5.0,2.3,0.7,0.3,0.9,3.8,122.0,120.0,0.617,15.2,0.084,-2.1,2.0,SG,0,0
A.J. Green,2025,66,1495,6.0,5.3,4.5,0.8,0.6,4.3,4.8,3.1,1.2,0.2,1.2,4.7,118.0,117.0,0.61,12.7,0.078,-2.4,3.0,SG,0,0
A.J. Guyton,2001,33,630,8.0,6.7,2.3,4.4,1.3,2.2,3.1,5.5,0.8,0.4,2.0,3.0,101.0,113.0,0.495,16.5,0.02,-4.0,1.0,PG,0,0
